100000	74	99	139	77	129	121	138	40	134	79	66
74	100000	121	223	136	149	206	216	38	192	163	96
99	121	100000	231	26	46	213	236	106	233	171	165
139	223	231	100000	175	271	18	79	181	123	58	192
77	136	26	175	100000	68	156	213	100	216	118	148
129	149	46	271	68	100000	253	276	137	263	211	195
121	206	213	18	156	253	100000	83	163	122	31	175
138	216	236	79	213	276	83	100000	173	68	116	145
40	38	106	181	100	137	163	173	100000	150	121	52
134	192	233	123	216	263	122	68	150	100000	151	100
79	163	171	58	118	211	31	116	121	151	100000	131
66	96	165	192	148	195	175	145	52	100	131	100000
